,Time,BE_line,Tag_Turn_MOD,BME_Turn_MOD,N_Turn_MOD,STT_Turn_MOD,ETT_Turn_MOD,Duration_Turn_MOD,Tag_Turn_P1,BME_Turn_P1,N_Turn_P1,STT_Turn_P1,ETT_Turn_P1,Duration_Turn_P1,Tag_Turn_P2,BME_Turn_P2,N_Turn_P2,STT_Turn_P2,ETT_Turn_P2,Duration_Turn_P2,Conv_MOD_P1_P2,Unnamed: 21
0,0.0,B, [laugh] ,B_W,0.0,0.0,1.375,1.375,,0,,,,,,0,,,,,S02_M001_P007_P006,
1,1.375,E, [laugh] ,E_W,0.0,0.0,1.375,1.375,,0,,,,,,0,,,,,S02_M001_P007_P006,
2,1.375,B,Ok so thanks for coming today. [eh] we're going to play a quiz.,B_W,0.0,1.375,6.441,5.066,,0,,,,,,0,,,,,S02_M001_P007_P006,
3,6.441,E,Ok so thanks for coming today. [eh] we're going to play a quiz.,E_W,0.0,1.375,6.441,5.066,,0,,,,,,0,,,,,S02_M001_P007_P006,
4,6.441,B,I would n,B_W,0.0,6.441,7.057,0.616,,0,,,,,Ok.,B_W,0.0,6.441,7.057,0.616,S02_M001_P007_P006,
5,7.057,E,I would n,E_W,0.0,6.441,7.057,0.616,,0,,,,,Ok.,E_W,0.0,6.441,7.057,0.616,S02_M001_P007_P006,
6,7.057,B,I'm going to ask you three questions,B_W,0.0,7.057,8.812,1.755,,0,,,,,,0,,,,,S02_M001_P007_P006,
7,8.812,E,I'm going to ask you three questions,E_W,0.0,7.057,8.812,1.755,,0,,,,,,0,,,,,S02_M001_P007_P006,
8,8.812,B,and I would li,B_W,0.0,8.812,9.38,0.568,mhmm,B_W,0.0,8.812,9.38,0.568,,0,,,,,S02_M001_P007_P006,
9,9.38,E,and I would li,E_W,0.0,8.812,9.38,0.568,mhmm,E_W,0.0,8.812,9.38,0.568,,0,,,,,S02_M001_P007_P006,
10,9.38,B,ke you to to that were posed to group of one hundred pend one hundred people,B_W,0.0,9.38,13.459,4.079,,0,,,,,,0,,,,,S02_M001_P007_P006,
11,13.459,E,ke you to to that were posed to group of one hundred pend one hundred people,E_W,0.0,9.38,13.459,4.079,,0,,,,,,0,,,,,S02_M001_P007_P006,
12,13.459,B,and then I would like you to guess the three most popular answers to these questions.,B_W,0.0,13.459,18.149,4.69,,0,,,,,,0,,,,,S02_M001_P007_P006,
13,18.149,E,and then I would like you to guess the three most popular answers to these questions.,E_W,0.0,13.459,18.149,4.69,,0,,,,,,0,,,,,S02_M001_P007_P006,
14,18.149,B, [i] ,B_W,0.0,18.149,18.62,0.471,Ok,B_W,0.0,18.149,18.62,0.471,,0,,,,,S02_M001_P007_P006,
15,18.62,E, [i] ,E_W,0.0,18.149,18.62,0.471,Ok,E_W,0.0,18.149,18.62,0.471,,0,,,,,S02_M001_P007_P006,
16,18.62,B,and then we'll ask you to identify the ranking,B_W,0.0,18.62,21.375,2.755,,0,,,,,,0,,,,,S02_M001_P007_P006,
936,0.0,B,Ok hello we are going to play a quiz.,B_M,0.0,0.0,3.218,3.218,,0,,,,,,0,,,,,S03_M001_P008_P009,
937,1.23,B,Ok hello we are going to play a quiz.,M,1.0,0.0,3.218,3.218,hi,B_M,0.0,1.23,1.592,0.362,,0,,,,,S03_M001_P008_P009,
938,1.267,B,Ok hello we are going to play a quiz.,M,2.0,0.0,3.218,3.218,hi,M,1.0,1.23,1.592,0.362,hello,B_M,0.0,1.267,1.781,0.514,S03_M001_P008_P009,
939,1.592,E,Ok hello we are going to play a quiz.,M,3.0,0.0,3.218,3.218,hi,E_M,1.0,1.23,1.592,0.362,hello,M,1.0,1.267,1.781,0.514,S03_M001_P008_P009,
940,1.781,E,Ok hello we are going to play a quiz.,M,4.0,0.0,3.218,3.218,,0,,,,,hello,E_M,1.0,1.267,1.781,0.514,S03_M001_P008_P009,
941,3.04,B,Ok hello we are going to play a quiz.,M,5.0,0.0,3.218,3.218,,0,,,,,ok,B_M,0.0,3.04,3.915,0.875,S03_M001_P008_P009,
942,3.218,E,Ok hello we are going to play a quiz.,E_M,5.0,0.0,3.218,3.218,,0,,,,,ok,M,1.0,3.04,3.915,0.875,S03_M001_P008_P009,
943,3.218,B,I would like to ask you three questions,B_M,0.0,3.218,5.425,2.207,,0,,,,,ok,M,2.0,3.04,3.915,0.875,S03_M001_P008_P009,
944,3.915,E,I would like to ask you three questions,M,1.0,3.218,5.425,2.207,,0,,,,,ok,E_M,2.0,3.04,3.915,0.875,S03_M001_P008_P009,
945,5.229,B,I would like to ask you three questions,M,2.0,3.218,5.425,2.207,sure,B_M,0.0,5.229,5.743,0.514,,0,,,,,S03_M001_P008_P009,
946,5.425,E,I would like to ask you three questions,E_M,2.0,3.218,5.425,2.207,sure,M,1.0,5.229,5.743,0.514,,0,,,,,S03_M001_P008_P009,
947,5.425,B,which were posed to a group of one hundred people,B_M,0.0,5.425,8.1,2.675,sure,M,2.0,5.229,5.743,0.514,,0,,,,,S03_M001_P008_P009,
948,5.743,E,which were posed to a group of one hundred people,M,1.0,5.425,8.1,2.675,sure,E_M,2.0,5.229,5.743,0.514,,0,,,,,S03_M001_P008_P009,
949,8.1,E,which were posed to a group of one hundred people,E_M,1.0,5.425,8.1,2.675,,0,,,,,,0,,,,,S03_M001_P008_P009,
950,8.1,B,and I would like you to guess the three most popular anwers to these questions,B_M,0.0,8.1,12.137,4.037,,0,,,,,,0,,,,,S03_M001_P008_P009,
951,8.116,B,and I would like you to guess the three most popular anwers to these questions,M,1.0,8.1,12.137,4.037,,0,,,,,mhmm,B_W,0.0,8.116,8.683,0.567,S03_M001_P008_P009,
952,8.683,E,and I would like you to guess the three most popular anwers to these questions,M,2.0,8.1,12.137,4.037,,0,,,,,mhmm,E_W,0.0,8.116,8.683,0.567,S03_M001_P008_P009,
953,12.137,E,and I would like you to guess the three most popular anwers to these questions,E_M,2.0,8.1,12.137,4.037,,0,,,,,,0,,,,,S03_M001_P008_P009,
954,12.137,B,and then I will ask you to really have a quick chat about their ranking in terms of popularity.,B_M,0.0,12.137,17.853,5.716,,0,,,,,,0,,,,,S03_M001_P008_P009,
955,12.152,B,and then I will ask you to really have a quick chat about their ranking in terms of popularity.,M,1.0,12.137,17.853,5.716,ok,B_W,0.0,12.152,12.555,0.403,,0,,,,,S03_M001_P008_P009,
956,12.555,E,and then I will ask you to really have a quick chat about their ranking in terms of popularity.,M,2.0,12.137,17.853,5.716,ok,E_W,0.0,12.152,12.555,0.403,,0,,,,,S03_M001_P008_P009,
957,17.853,E,and then I will ask you to really have a quick chat about their ranking in terms of popularity.,E_M,2.0,12.137,17.853,5.716,,0,,,,,,0,,,,,S03_M001_P008_P009,
958,17.853,B,So for example if I ask you what is normally used to carry patients in a hospital,B_W,0.0,17.853,24.439,6.586,,0,,,,,,0,,,,,S03_M001_P008_P009,
1518,0.033,B,,B_W,0.0,0.033,0.266,0.233,,0,,,,,,0,,,,,S04_M001_P011_P010,
1519,0.266,E,,E_W,0.0,0.033,0.266,0.233,,0,,,,,,0,,,,,S04_M001_P011_P010,
1520,0.76,B,ok,B_W,0.0,0.76,1.502,0.742,,0,,,,,,0,,,,,S04_M001_P011_P010,
1521,1.502,E,ok,E_W,0.0,0.76,1.502,0.742,,0,,,,,,0,,,,,S04_M001_P011_P010,
1522,1.502,B,"Hello, thank you for coming today, we're going to play a quiz.",B_W,0.0,1.502,5.338,3.836,,0,,,,,,0,,,,,S04_M001_P011_P010,
1523,5.338,E,"Hello, thank you for coming today, we're going to play a quiz.",E_W,0.0,1.502,5.338,3.836,,0,,,,,,0,,,,,S04_M001_P011_P010,
1524,5.338,B,I'd like to ask you,B_W,0.0,5.338,5.958,0.62,,0,,,,,ok,B_W,0.0,5.338,5.958,0.62,S04_M001_P011_P010,
1525,5.958,E,I'd like to ask you,E_W,0.0,5.338,5.958,0.62,,0,,,,,ok,E_W,0.0,5.338,5.958,0.62,S04_M001_P011_P010,
1526,5.958,B,three questions [eh] which were posed to a group of one hundred people,B_W,0.0,5.958,9.96,4.002,,0,,,,,,0,,,,,S04_M001_P011_P010,
1527,9.96,E,three questions [eh] which were posed to a group of one hundred people,E_W,0.0,5.958,9.96,4.002,,0,,,,,,0,,,,,S04_M001_P011_P010,
1528,9.96,B,and I would like you to guess the three most popular answers to these questions.,B_W,0.0,9.96,14.128,4.168,,0,,,,,,0,,,,,S04_M001_P011_P010,
1529,14.128,E,and I would like you to guess the three most popular answers to these questions.,E_W,0.0,9.96,14.128,4.168,,0,,,,,,0,,,,,S04_M001_P011_P010,
1530,14.128,B,And then I would like you to talk to each other about the ranking of these answers in terms of populartiy.,B_W,0.0,14.128,19.927,5.799,,0,,,,,,0,,,,,S04_M001_P011_P010,
1531,19.927,E,And then I would like you to talk to each other about the ranking of these answers in terms of populartiy.,E_W,0.0,14.128,19.927,5.799,,0,,,,,,0,,,,,S04_M001_P011_P010,
1532,19.927,B,Ok?,B_W,0.0,19.927,21.055,1.128,,0,,,,,,0,,,,,S04_M001_P011_P010,
2445,0.821,B,"Ok hi welcome, thank you for coming today.",B_W,0.0,0.821,3.866,3.045,,0,,,,,,0,,,,,S05_M001_P012_P013,
2446,3.866,E,"Ok hi welcome, thank you for coming today.",E_W,0.0,0.821,3.866,3.045,,0,,,,,,0,,,,,S05_M001_P012_P013,
2447,3.866,B,We're going to play a quiz.,B_W,0.0,3.866,5.657,1.791,,0,,,,,,0,,,,,S05_M001_P012_P013,
2448,5.657,E,We're going to play a quiz.,E_W,0.0,3.866,5.657,1.791,,0,,,,,,0,,,,,S05_M001_P012_P013,
2449,5.657,B,I would like to ask you three questions which were posed to a group of one hundred people,B_W,0.0,5.657,10.585,4.928,,0,,,,,,0,,,,,S05_M001_P012_P013,
2450,10.585,E,I would like to ask you three questions which were posed to a group of one hundred people,E_W,0.0,5.657,10.585,4.928,,0,,,,,,0,,,,,S05_M001_P012_P013,
2451,10.585,B,and I would like you to guess the three most popular answers to these questions.,B_W,0.0,10.585,15.054,4.469,,0,,,,,,0,,,,,S05_M001_P012_P013,
2452,15.054,E,and I would like you to guess the three most popular answers to these questions.,E_W,0.0,10.585,15.054,4.469,,0,,,,,,0,,,,,S05_M001_P012_P013,
2453,15.054,B,,0,,,,,,0,,,,,Ok.,B_W,0.0,15.054,15.568,0.514,S05_M001_P012_P013,
2454,15.568,E,,0,,,,,,0,,,,,Ok.,E_W,0.0,15.054,15.568,0.514,S05_M001_P012_P013,
2455,15.568,B,Ok?,B_W,0.0,15.568,16.285,0.717,Ok.,B_W,0.0,15.568,16.285,0.717,,0,,,,,S05_M001_P012_P013,
2456,16.285,E,Ok?,E_W,0.0,15.568,16.285,0.717,Ok.,E_W,0.0,15.568,16.285,0.717,,0,,,,,S05_M001_P012_P013,
2457,16.285,B,And then I will ask you to talk to each other [eh] +and guess the ranking of the answers in terms of popularity.,B_W,0.0,16.285,23.447,7.162,,0,,,,,,0,,,,,S05_M001_P012_P013,
3368,0.0,B, [ts] ,B_W,0.0,0.0,0.566,0.566,,0,,,,,,0,,,,,S07_M002_P016_P017,
3369,0.566,E, [ts] ,E_W,0.0,0.0,0.566,0.566,,0,,,,,,0,,,,,S07_M002_P016_P017,
3370,1.683,B,Ok.,B_W,0.0,1.683,2.396,0.713,,0,,,,,,0,,,,,S07_M002_P016_P017,
3371,2.396,E,Ok.,E_W,0.0,1.683,2.396,0.713,,0,,,,,,0,,,,,S07_M002_P016_P017,
3372,2.396,B,"So welcome, thank you very much for being",B_W,0.0,2.396,4.397,2.001,,0,,,,,,0,,,,,S07_M002_P016_P017,
3373,4.397,E,"So welcome, thank you very much for being",E_W,0.0,2.396,4.397,2.001,,0,,,,,,0,,,,,S07_M002_P016_P017,
3374,4.397,B,here,B_W,0.0,4.397,5.17,0.773,,0,,,,,Thank you.,B_W,0.0,4.397,5.17,0.773,S07_M002_P016_P017,
3375,5.17,E,here,E_W,0.0,4.397,5.17,0.773,,0,,,,,Thank you.,E_W,0.0,4.397,5.17,0.773,S07_M002_P016_P017,
3376,5.17,B,today.,B_W,0.0,5.17,5.705,0.535,,0,,,,,,0,,,,,S07_M002_P016_P017,
3377,5.705,E,today.,E_W,0.0,5.17,5.705,0.535,,0,,,,,,0,,,,,S07_M002_P016_P017,
3378,5.705,B,How do you feel?,B_W,0.0,5.705,6.821,1.116,,0,,,,,,0,,,,,S07_M002_P016_P017,
3379,6.821,E,How do you feel?,E_W,0.0,5.705,6.821,1.116,,0,,,,,,0,,,,,S07_M002_P016_P017,
3380,6.821,B,,0,,,,,,0,,,,,Great.,B_W,0.0,6.821,7.592,0.771,S07_M002_P016_P017,
3381,7.592,E,,0,,,,,,0,,,,,Great.,E_W,0.0,6.821,7.592,0.771,S07_M002_P016_P017,
3382,7.592,B,,0,,,,,I'm fine.,B_W,0.0,7.592,8.567,0.975,,0,,,,,S07_M002_P016_P017,
3383,8.567,E,,0,,,,,I'm fine.,E_W,0.0,7.592,8.567,0.975,,0,,,,,S07_M002_P016_P017,
3384,8.567,B,Excellent.,B_W,0.0,8.567,9.183,0.616,,0,,,,,,0,,,,,S07_M002_P016_P017,
3385,9.183,E,Excellent.,E_W,0.0,8.567,9.183,0.616,,0,,,,,,0,,,,,S07_M002_P016_P017,
3386,9.183,B,Ah,B_W,0.0,9.183,9.904,0.721,Thanks.,B_W,0.0,9.183,9.904,0.721,,0,,,,,S07_M002_P016_P017,
3387,9.904,E,Ah,E_W,0.0,9.183,9.904,0.721,Thanks.,E_W,0.0,9.183,9.904,0.721,,0,,,,,S07_M002_P016_P017,
3388,9.904,B,so we're going to play+ [ii] a quiz.,B_W,0.0,9.904,12.368,2.464,,0,,,,,,0,,,,,S07_M002_P016_P017,
3389,12.368,E,so we're going to play+ [ii] a quiz.,E_W,0.0,9.904,12.368,2.464,,0,,,,,,0,,,,,S07_M002_P016_P017,
3390,12.368,B,I'm going to ask you three questions,B_W,0.0,12.368,14.952,2.584,,0,,,,,,0,,,,,S07_M002_P016_P017,
3391,14.952,E,I'm going to ask you three questions,E_W,0.0,12.368,14.952,2.584,,0,,,,,,0,,,,,S07_M002_P016_P017,
3392,14.952,B, [ah] regarding [ah] ,B_W,0.0,14.952,17.025,2.073,,0,,,,,,0,,,,,S07_M002_P016_P017,
3393,17.025,E, [ah] regarding [ah] ,E_W,0.0,14.952,17.025,2.073,,0,,,,,,0,,,,,S07_M002_P016_P017,
3394,17.025,B,the most ah popular questions [eh] about something that,B_W,0.0,17.025,21.415,4.39,,0,,,,,,0,,,,,S07_M002_P016_P017,
4372,0.0,B,,B_M,0.0,0.0,41.211,41.211,,0,,,,,,0,,,,,S08_M002_P018_P019,
4373,2.316,B,,M,1.0,0.0,41.211,41.211,,0,,,,,Good evening.,B_W,0.0,2.316,2.776,0.46,S08_M002_P018_P019,
4374,2.776,E,,M,2.0,0.0,41.211,41.211,,0,,,,,Good evening.,E_W,0.0,2.316,2.776,0.46,S08_M002_P018_P019,
4375,2.776,B,,M,3.0,0.0,41.211,41.211,Good evening.,B_W,0.0,2.776,3.752,0.976,,0,,,,,S08_M002_P018_P019,
4376,3.752,E,,M,4.0,0.0,41.211,41.211,Good evening.,E_W,0.0,2.776,3.752,0.976,,0,,,,,S08_M002_P018_P019,
5148,1.791,B,Ok [un] ,B_W,0.0,1.791,2.934,1.143,Yeah so,B_W,0.0,1.791,2.934,1.143,,0,,,,,S09_M001_P021_P020,
5149,2.934,E,Ok [un] ,E_W,0.0,1.791,2.934,1.143,Yeah so,E_W,0.0,1.791,2.934,1.143,,0,,,,,S09_M001_P021_P020,
5150,2.934,B,So I would like us to pay play a quiz.,B_W,0.0,2.934,5.496,2.562,,0,,,,,,0,,,,,S09_M001_P021_P020,
5151,5.496,E,So I would like us to pay play a quiz.,E_W,0.0,2.934,5.496,2.562,,0,,,,,,0,,,,,S09_M001_P021_P020,
5152,5.496,B,Right?,B_W,0.0,5.496,6.433,0.937,ok.,B_W,0.0,5.496,6.433,0.937,,0,,,,,S09_M001_P021_P020,
5153,6.433,E,Right?,E_W,0.0,5.496,6.433,0.937,ok.,E_W,0.0,5.496,6.433,0.937,,0,,,,,S09_M001_P021_P020,
5154,6.895,B,So I would like to ask you three questions that were posed to a group of one hundred people.,B_W,0.0,6.895,11.059,4.164,,0,,,,,,0,,,,,S09_M001_P021_P020,
5155,11.059,E,So I would like to ask you three questions that were posed to a group of one hundred people.,E_W,0.0,6.895,11.059,4.164,,0,,,,,,0,,,,,S09_M001_P021_P020,
5156,11.059,B,,0,,,,,mhmm,B_W,0.0,11.059,11.626,0.567,,0,,,,,S09_M001_P021_P020,
5157,11.626,E,,0,,,,,mhmm,E_W,0.0,11.059,11.626,0.567,,0,,,,,S09_M001_P021_P020,
5158,11.626,B,"And I would like you to guess, talk to each other and guess the three most popular answers to these questions.",B_W,0.0,11.626,17.418,5.792,,0,,,,,,0,,,,,S09_M001_P021_P020,
5159,17.418,E,"And I would like you to guess, talk to each other and guess the three most popular answers to these questions.",E_W,0.0,11.626,17.418,5.792,,0,,,,,,0,,,,,S09_M001_P021_P020,
5160,17.418,B,And then I will ask you to decide on the ranking.,B_W,0.0,17.418,20.816,3.398,,0,,,,,,0,,,,,S09_M001_P021_P020,
5729,1.086,B,Ok.,B_W,0.0,1.086,1.698,0.612,,0,,,,,,0,,,,,S10_M001_P022_P023,
5730,1.698,E,Ok.,E_W,0.0,1.086,1.698,0.612,,0,,,,,,0,,,,,S10_M001_P022_P023,
5731,1.698,B,So I would like us to play a quiz.,B_W,0.0,1.698,3.48,1.782,,0,,,,,,0,,,,,S10_M001_P022_P023,
5732,3.48,E,So I would like us to play a quiz.,E_W,0.0,1.698,3.48,1.782,,0,,,,,,0,,,,,S10_M001_P022_P023,
5733,3.48,B,Ok?,B_W,0.0,3.48,4.197,0.717,,0,,,,,,0,,,,,S10_M001_P022_P023,
5734,4.197,E,Ok?,E_W,0.0,3.48,4.197,0.717,,0,,,,,,0,,,,,S10_M001_P022_P023,
5735,4.197,B,I'm going to ask you three questions that were posed to a group of one hundred people,B_W,0.0,4.197,8.06,3.863,,0,,,,,,0,,,,,S10_M001_P022_P023,
5736,8.06,E,I'm going to ask you three questions that were posed to a group of one hundred people,E_W,0.0,4.197,8.06,3.863,,0,,,,,,0,,,,,S10_M001_P022_P023,
5737,8.06,B,and I would like you to guess the most popular answers to these questions.,B_W,0.0,8.06,11.63,3.57,,0,,,,,,0,,,,,S10_M001_P022_P023,
5738,11.63,E,and I would like you to guess the most popular answers to these questions.,E_W,0.0,8.06,11.63,3.57,,0,,,,,,0,,,,,S10_M001_P022_P023,
5739,11.63,B,And then I will ask you to talk to each other and decide upon the ranking in terms of popularity.,B_W,0.0,11.63,17.076,5.446,,0,,,,,,0,,,,,S10_M001_P022_P023,
5740,17.076,E,And then I will ask you to talk to each other and decide upon the ranking in terms of popularity.,E_W,0.0,11.63,17.076,5.446,,0,,,,,,0,,,,,S10_M001_P022_P023,
5741,17.076,B,Ok?,B_W,0.0,17.076,17.9,0.824,,0,,,,,,0,,,,,S10_M001_P022_P023,
5742,17.9,E,Ok?,E_W,0.0,17.076,17.9,0.824,,0,,,,,,0,,,,,S10_M001_P022_P023,
5743,17.9,B,So+ [oh] I might just ask questions like ah what do you usually use to transfer patients you know in a hospital,B_W,0.0,17.9,24.276,6.376,,0,,,,,,0,,,,,S10_M001_P022_P023,
6407,0.0,B,,0,,,,,,0,,,,, [un] ,B_W,0.0,0.0,0.669,0.669,S11_M001_P025_P024,
6408,0.669,E,,0,,,,,,0,,,,, [un] ,E_W,0.0,0.0,0.669,0.669,S11_M001_P025_P024,
6409,0.669,B,Right.,B_W,0.0,0.669,1.387,0.718,,0,,,,,,0,,,,,S11_M001_P025_P024,
6410,1.387,E,Right.,E_W,0.0,0.669,1.387,0.718,,0,,,,,,0,,,,,S11_M001_P025_P024,
6411,1.387,B,"So, I would like us to play a quiz.",B_W,0.0,1.387,3.729,2.342,,0,,,,,,0,,,,,S11_M001_P025_P024,
6412,3.729,E,"So, I would like us to play a quiz.",E_W,0.0,1.387,3.729,2.342,,0,,,,,,0,,,,,S11_M001_P025_P024,
6413,3.729,B,I'm going to ask you three questions,B_W,0.0,3.729,6.206,2.477,,0,,,,,,0,,,,,S11_M001_P025_P024,
6414,6.206,E,I'm going to ask you three questions,E_W,0.0,3.729,6.206,2.477,,0,,,,,,0,,,,,S11_M001_P025_P024,
6415,6.206,B,and I would,B_W,0.0,6.206,6.618,0.412,,0,,,,,Ok.,B_W,0.0,6.206,6.618,0.412,S11_M001_P025_P024,
6416,6.618,E,and I would,E_W,0.0,6.206,6.618,0.412,,0,,,,,Ok.,E_W,0.0,6.206,6.618,0.412,S11_M001_P025_P024,
6417,6.618,B,lie that were were posed to a group of one hundred people,B_W,0.0,6.618,9.808,3.19,,0,,,,,,0,,,,,S11_M001_P025_P024,
6418,9.808,E,lie that were were posed to a group of one hundred people,E_W,0.0,6.618,9.808,3.19,,0,,,,,,0,,,,,S11_M001_P025_P024,
6419,9.808,B,and I would like you to guess the most popular answers to these questions.,B_W,0.0,9.808,13.45,3.642,,0,,,,,,0,,,,,S11_M001_P025_P024,
6420,13.45,E,and I would like you to guess the most popular answers to these questions.,E_W,0.0,9.808,13.45,3.642,,0,,,,,,0,,,,,S11_M001_P025_P024,
6421,13.45,B,Ok?,B_W,0.0,13.45,13.912,0.462,,0,,,,,,0,,,,,S11_M001_P025_P024,
6422,13.912,E,Ok?,E_W,0.0,13.45,13.912,0.462,,0,,,,,,0,,,,,S11_M001_P025_P024,
6423,13.912,B,And then I will ask you to talk to each other and decide a on their ranking in terms of popularity.,B_W,0.0,13.912,19.231,5.319,,0,,,,,,0,,,,,S11_M001_P025_P024,
6424,19.231,E,And then I will ask you to talk to each other and decide a on their ranking in terms of popularity.,E_W,0.0,13.912,19.231,5.319,,0,,,,,,0,,,,,S11_M001_P025_P024,
6425,19.231,B,So for example I might ask you+ [oo] what are some ways in which you can carry patients in a hospital.,B_W,0.0,19.231,25.279,6.048,,0,,,,,,0,,,,,S11_M001_P025_P024,
7099,0.0,B,,0,,,,,yeah,B_W,0.0,0.0,0.153,0.153,,0,,,,,S13_M003_P028_P029,
